gender,age,emotion
"{'Woman': 80.31449317932129, 'Man': 19.68550980091095}",34,happy
"{'Woman': 22.864457964897156, 'Man': 77.1355390548706}",35,happy
"{'Woman': 21.50557041168213, 'Man': 78.49442958831787}",36,neutral
"{'Woman': 27.271798253059387, 'Man': 72.72819876670837}",35,neutral
"{'Woman': 20.6446573138237, 'Man': 79.35534119606018}",33,neutral
"{'Woman': 86.40965819358826, 'Man': 13.59034925699234}",33,neutral
"{'Woman': 82.50858187675476, 'Man': 17.491415143013}",35,neutral
"{'Woman': 38.59612047672272, 'Man': 61.403876543045044}",37,sad
"{'Woman': 52.22868323326111, 'Man': 47.771310806274414}",35,sad
"{'Woman': 65.9303367137909, 'Man': 34.069666266441345}",32,neutral
"{'Woman': 79.2236864566803, 'Man': 20.77631801366806}",31,happy
"{'Woman': 67.36619472503662, 'Man': 32.63380229473114}",33,happy
"{'Woman': 82.66242146492004, 'Man': 17.337580025196075}",33,happy
"{'Woman': 37.53005266189575, 'Man': 62.46994733810425}",30,happy
"{'Woman': 68.55514645576477, 'Man': 31.44485056400299}",29,happy
"{'Woman': 67.06084609031677, 'Man': 32.93915092945099}",30,fear
"{'Woman': 33.68587791919708, 'Man': 66.31412506103516}",29,happy
"{'Woman': 7.462414354085922, 'Man': 92.53758788108826}",26,sad
"{'Woman': 49.85358417034149, 'Man': 50.14641880989075}",30,happy
"{'Woman': 79.10996675491333, 'Man': 20.89003175497055}",31,happy
"{'Woman': 74.46398735046387, 'Man': 25.53601562976837}",30,happy
"{'Woman': 29.308676719665527, 'Man': 70.69132328033447}",31,happy
"{'Woman': 94.19028759002686, 'Man': 5.809711664915085}",32,happy
"{'Woman': 31.194880604743958, 'Man': 68.8051164150238}",26,fear
"{'Woman': 79.56645488739014, 'Man': 20.433545112609863}",28,happy
"{'Woman': 68.16346645355225, 'Man': 31.836536526679993}",27,happy
"{'Woman': 16.377878189086914, 'Man': 83.62211585044861}",28,fear
"{'Woman': 69.08615827560425, 'Man': 30.913838744163513}",34,fear
"{'Woman': 57.24143385887146, 'Man': 42.75856614112854}",34,fear
"{'Woman': 65.5153751373291, 'Man': 34.4846248626709}",35,fear
"{'Woman': 61.853790283203125, 'Man': 38.146209716796875}",36,neutral
"{'Woman': 47.82712757587433, 'Man': 52.17288136482239}",35,neutral
"{'Woman': 23.104768991470337, 'Man': 76.89522504806519}",38,neutral
"{'Woman': 86.07388734817505, 'Man': 13.926108181476593}",34,fear
"{'Woman': 82.57405161857605, 'Man': 17.42594540119171}",34,fear
"{'Woman': 78.68291139602661, 'Man': 21.31708711385727}",33,fear
"{'Woman': 87.59834170341492, 'Man': 12.401659041643143}",35,fear
"{'Woman': 8.1328846514225, 'Man': 91.8671190738678}",30,neutral
"{'Woman': 97.00326919555664, 'Man': 2.9967350885272026}",34,fear
"{'Woman': 41.80420637130737, 'Man': 58.19579362869263}",35,sad
"{'Woman': 96.40272855758667, 'Man': 3.5972729325294495}",37,surprise
"{'Woman': 22.905465960502625, 'Man': 77.09453701972961}",39,neutral
